
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
1992,Over-ride TNM Stage,1,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideTnmStage,Tumor,2018,18,,,.,.,.,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.  
  
  
This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:  
  
* Primary Site, TNM Clin Stage Valid A- Ed 7 (CoC)
* Primary Site, TNM Clin Stage Valid B- Ed 7 (CoC)
* Primary Site, TNM Path Stage Valid A- Ed 7 (CoC)
* Primary Site, TNM Path Stage Valid B- Ed 7 (CoC)

These edits check T, N, and M combinations against stage group. Adding this over-ride allows the edit to pass when combinations of T, N, and M are entered that are not included in the stage tables used with the edits.   
 ","This over-ride will allow registrars to enter combination of T, N, and M with a stage group that differs from the combinations documented in the AJCC Staging Manual.",,,**Codes**,"1, Blank",,digits,,,,,,,,,,
1993,Over-ride TNM Tis,1,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideTnmTis,Tumor,2018,18,,,.,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.  
  
  
This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:  
  
* TNM Clin T, N, M, In Situ (CoC)
* TNM Path T, N, M, In Situ (CoC)

If the patient has a T value indicating in situ/ noninvasive, this edit verifies that the N, M, and stage group reflect in situ/noninvasive disease. However, there are certain circumstances where AJCC does allow a T value indicating in situ/noninvasive and N, M, and/or stage group that indicates invasive disease. An over-ride is required to accommodate these situations.  
 ","This over-ride will allow registrars to enter combination of T, N, and M with a stage group that differs from the combinations documented in the AJCC Staging Manual.",,,**Codes**,"1, Blank",,digits,,,,,,,,,,
1994,Over-ride TNM 3,1,NAACCR,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideTnm3,Tumor,2018,18,,,.,.,.,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future.",,,**Codes**,"1, Blank",,digits,,,,,,,,,,
2000,Over-ride SeqNo/DxConf,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSeqnoDxconf,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Diagnostic Confirm, Seq Num--Central (SEER IF23)","Some edits check for code combinations that are impossible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/)**.**

**Over-ride Flag as Used in the EDITS Software Package**

*   The edit checks if the case is one of multiple primaries and is not microscopically confirmed or has only positive lab test/marker studies (i.e., Diagnostic Confirmation >5) and tumor sequence number >00 (more than one primary).
*   The edit is skipped if the Sequence Number--Central is in the range of 60-99.

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the Diagnostic Confirmation and Sequence Number Central edit.
*   Code 1 if the cases have been reviewed and it is verified that there are multiple primaries of specific sites in which at least one diagnosis has not been microscopically confirmed.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2010,Over-ride Site/Lat/SeqNo,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteLatSeqno,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following Interrecord Edit from the SEER Program:

*   Verify Same Primary Not Reported Twice for a Person (SEER IR09)

Presently, documentation on interrecord edits is not included in the EDITS software.","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**

Verify Same Primary Not Reported Twice for a Person (SEER IR09) applies to paired organs and does not allow two cases with the same primary site group, laterality and three digit histology code. This edit verifies that the same primary is not reported twice for a person. 

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edit Verify Same Primary Not Reported Twice for a Person (SEER IR09).
*   Code 1 if the case has been reviewed and it has been verified that the patient had multiple primaries of the same histology (3 digit) in the same primary site group.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2020,Over-ride Surg/DxConf,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSurgDxconf,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   RX Summ--Surg Prim Site, Diag Conf (SEER IF76)
*   RX Summ--Surg Site 98-02, Diag Conf (SEER IF106)
*   RX Summ--Surgery Type, Diag Conf (SEER IF46)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See of [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/).

**Over-ride Flag as Used in the EDITS Software Package**

Edits of the type RX Summ--Surg Prim Site, Diag Conf check that cases with a primary site surgical procedure coded 20-90 are histologically confirmed. If the patient had a surgical procedure, most likely there was a microscopic examination of the cancer. Verify the surgery and diagnostic confirmation codes, and correct any errors. Sometimes there are valid reasons why no microscopic confirmation is achieved with the surgery; for example, the tissue removed may be inadequate for evaluation.

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for edits of the type, RX Summ--Surg Prim Site, Diag Conf.
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.
*   Code 1 if review confirms that they are correct. The patient had surgery, but the tissue removed was not sufficient for microscopic confirmation.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2030,Over-ride Site/Type,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteType,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Primary Site, Morphology-Type ICDO2 (CoC)
*   Primary Site, Morphology-Type ICDO3 (CoC)
*   Primary Site, Morphology-Type ICDO2 (SEER IF25)
*   Primary Site, Morphology-Type ICDO3 (SEER IF25)
*   Primary Site, Morphology-Type, Behavior ICDO3 (SEER IF25)
*   Primary Site, Morphology-Type, Behavior ICDO3 (CoC)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**

Multiple versions of edits of the type Primary site, Morphology-Type check for ""usual"" combinations of site and ICD-O-2 or ICD-O-3 histology. The SEER version of the edit is more restrictive than the CoC edit, and thus uses a different over-ride flag. The CoC version of the edit will accept Over-ride CoC-Site/Type or Over-ride Site/Type as equivalent.

1.  The Site/Histology validation list (available on the SEER web site) contains those histologies commonly found in the specified primary site. Histologies that occur only rarely or never are not included. These edits require review of all combinations not listed.
2.  Since basal and squamous cell carcinomas of non-genital skin sites are not reportable to SEER, these site/histology combinations do not appear on the SEER validation list. For the CoC version of the edit, if Primary Site is in the range C440-C449 (skin), and ICD-O-2 histology is in the range 8000-8004 (neoplasms, malignant, NOS), 8010-8045 (epithelial carcinomas), 8050-8082 (papillary and squamous cell carcinomas), or 8090-8110 (basal cell carcinomas), or ICD-O-3 histology is in the range 8000-8005 (neoplasms, malignant, NOS), 8010-8046 (epithelial carcinomas), 8050-8084 (papillary and squamous cell carcinomas), or 8090-8110 (basal cell carcinomas), no further editing is done. No over-ride is necessary for these cases in the CoC version of the edit.

Review of these cases requires investigating whether a) the combination is biologically implausible, or b) there are cancer registry coding conventions that would dictate different codes for the diagnosis. Review of these rare combinations often results in changes to the primary site and/or morphology, rather than a decision that the combination is correct.

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edits of the type Primary Site, Morphology-Type.
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.
*   Code 1 if the case has been reviewed and both the site and histology are correct.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2040,Over-ride Histology,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideHistology,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Diagnostic Confirmation, Behavior ICDO2 (SEER IF31)
*   Diagnostic Confirmation, Behavior ICDO3 (SEER IF31)
*   Morph (1973-91) ICD-O-1 (SEER MORPH)
*   Morphology--Type/Behavior ICDO2 (SEER MORPH)
*   Morphology--Type/Behavior ICDO3 (SEER MORPH)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flags as Used in the EDITS Software Package**

Edits of the type Diagnostic Confirmation, Behavior differ in the use of ICD-O-2 or ICD-O-3 and check that, for _in situ_ cases (Behavior = 2), Diagnostic Confirmation specifies microscopic confirmation (1, 2, or 4).

The distinction between _in situ_ and invasive is very important to a registry, since prognosis is so different. Since the determination that a neoplasm has not invaded surrounding tissues, i.e., _in situ_, is made microscopically, cases coded _in situ_ in behavior should have a microscopic confirmation code. However, very rarely, a physician will designate a case noninvasive or _in situ_ without microscopic evidence.

If an edit of the type, Diagnostic Confirmation, Behavior, gives an error message or warning, check that Behavior and Diagnostic Confirmation have been coded correctly. Check carefully for any cytologic or histologic evidence that may have been missed in coding.

Edits of the type, Morphology--Type/Behavior, perform the following check:

1.  Codes listed in ICD-O-2 or ICD-O-3 with behavior codes of only 0 or 1 are considered valid, since the behavior matrix of ICD-O-2 and ICD-O-3 allows for the elevation of the behavior of such histologies when the tumor is _in situ_ or malignant. This edit forces review of these rare cases to verify that they are indeed _in situ_ or malignant.
2.  The following histologies are generally not accepted as _in situ_: ICD-O-2 histologies 8000-8004, 8020, 8021, 8331, 8332, 8800-9054, 9062, 9082, 9083, 9110-9491, 9501-9989, ICD-O-3 histologies 8000-8005, 8020, 8021, 8331, 8332, 8800-9055, 9062, 9082, 9083, 9110-9493, 9501-9989. This edit forces review of these cases.
3.  If a Morphology-Type/Behavior edit produces an error or warning message and the case is one in which the 4-digit morphology code is one that appears in ICD-O-2 or ICD-O-3 only with behavior codes of 0 or 1, or the case is one in which the 4-digit morphology code is not generally accepted with a behavior code of 2, verify the coding of morphology and that the behavior should be coded malignant or _in situ_. The registrar may need to consult a pathologist or medical advisor in problem cases.
    *   Exceptions:
    *   If year of Date of Diagnosis > 2000, then a behavior code of 1 is valid for the following ICD-O-2 histologies and no over-ride flag is needed: 8931, 9393, 9538, 9950, 9960-9962, 9980-9984, and 9989. Similarly, the following ICD-O-3 histologies are valid with a behavior code of 1: 8442, 8451, 8462, 8472, and 8473. If year of Date of Diagnosis > 2003, the following ICD-O-3 benign histologies will pass without review: 8146, 8271, 8861, 8897, 9121, 9122, 9131, 9161, 9350, 9351, 9352, 9360, 9361, 9383, 9384, 9394, 9412, 9413, 9444, 9492, 9493, 9506, 9531, 9532, 9533, 9534, 9537, 9541, 9550, 9562, and 9570.
4.  Grade 5-8 with histologies not in the range of 9590-9948 is impossible.
5.  Some terms in ICD-O-2 and ICD-O-3 carry an implied statement of grade. These histologies must be reported with the correct grade as stated below. An error of this type cannot be over-ridden.

**ICD-O-2**  
\* 8020/34 Carcinoma, undifferentiated  
\* 8021/34 Carcinoma, anaplastic  
\* 8331/31 Follicular adenocarcinoma, well differentiated  
\* 8851/31 Liposarcoma, well differentiated  
\* 9062/34 Seminoma, anaplastic  
\* 9082/34 Malignant teratoma, undifferentiated  
\* 9083/32 Malignant teratoma, intermediate type  
\* 9401/34 Astrocytoma, anaplastic  
\* 9451/34 Oligodendroglioma, anaplastic  
\* 9511/31 Retinoblastoma, differentiated  
\* 9512/34 Retinoblastoma, undifferentiated  
**ICD-O-3**  
\* 8020/34 Carcinoma, undifferentiated  
\* 8021/34 Carcinoma, anaplastic  
\* 8331/31 Follicular adenocarcinoma, well differentiated  
\* 9082/34 Malignant teratoma, undifferentiated  
\* 9083/32 Malignant teratoma, intermediate type  
\* 9401/34 Astrocytoma, anaplastic  
\* 9451/34 Oligodendroglioma, anaplastic  
\* 9511/31 Retinoblastoma, differentiated  
\* 9512/34 Retinoblastoma, undifferentiated

**Instructions for Coding**

1.  Leave blank if the program does not generate an error message for the edits of the types, Diagnostic Confirmation, Behav Code or Morphology--Type/Behavior.
2.  Leave blank and correct any errors for the case if an item is discovered to be incorrect.
3.  Code 1, 2, or 3 as indicated if review of all items in the error or warning message confirms that all are correct.",,,**Codes**,1-3 or blank,,digits,,,,,,,,,,
2050,Over-ride Report Source,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideReportSource,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Type of Rep Srce(DC), Seq Num--Cent, ICDO2 (SEER IF04)
*   Type of Rep Srce(DC), Seq Num--Cent, ICDO3 (SEER IF04)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**  
Edits of the type 'Type of Rep Srce(DC), Seq Num--Cent' checks that if the case is a death-certificate-only case and the histology is not a lymphoma, leukemia, immunoproliferative or myeloproliferative disease (ICD-O-2 or ICD-O-3 histology is less than 9590), then the tumor sequence number must specify one primary only (sequence '00'). 

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the report source edit.
*   Code 1 if review of type of reporting source, histologic type and tumor sequence number verified that a second or subsequent primary with a reporting source of death-certificate-only has been reviewed and is indeed an independent primary.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2060,Over-ride Ill-define Site,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideIllDefineSite,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Seq Num--Central, Prim Site, Morph ICDO2 (SEER IF22)
*   Seq Num--Central, Prim Site, Morph ICDO3 (SEER IF22)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**

Edits of the type Seq Num--Central, Primary Site, Morph differ in use of ICD-O-2 or ICD-O-3 morphology. They force review of multiple primary cancers when one of the primaries is coded to a site/morphology combination that could indicate a metastatic site rather than a primary site.

1.  If Sequence Number-Central indicates the person has had more than one primary, then any case with one of the following site/histology combinations requires review:
    *   C760-C768 (ill-defined sites) or C809 (unknown primary) and ICD-O-2 or ICD-O-3 histology \< 9590. Look for evidence that the unknown or ill-defined primary is a secondary site from one of the patient’s other cancers. For example, a clinical discharge diagnosis of “abdominal carcinomatosis” may be attributable to the patient’s primary ovarian cystadenocarcinoma already in the registry, and should not be entered as a second primary.
    *   C770-C779 (lymph nodes) and ICD-O-2 histology not in the range 9590-9717 or ICD-O-3 histology not in the range 9590-9729; or C420-C424 and ICD-O-2 histology not in the range 9590-9941 or ICD-O-3 histology not in the range 9590-9989. That combination is most likely a metastatic lesion. Check whether the lesion could be a manifestation of one of the patient’s other cancers.
    *   Any site and ICD-O-2 histology in the range 9720-9723, 9740-9741 or ICD-O-3 histology in the range 9740-9758. Verify that these diagnoses are coded correctly and are indeed separate primaries from the others.
2.  If it turns out that the suspect tumor is a manifestation of one of the patient's other cancers, delete the metastatic or secondary case, re-sequence remaining cases, and correct the coding on the original case as necessary.

**Instructions for Coding**

*   Code 1 can be used if a second or subsequent primary reporting with an ill-defined primary site has been reviewed and is indeed an independent primary.
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2070,"Over-ride Leuk, Lymphoma",1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideLeukLymphoma,Tumor,,,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Diagnostic Confirmation, Histology ICDO2 (SEER IF48)
*   Diagnostic Confirmation, Histology ICDO3 (SEER IF48)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**  
Edits of the type Diagnostic Confirmation, Histology differ in use of ICD-O-2 or ICD-O-3 and check the following:

1.  Since lymphoma and leukemia are almost exclusively microscopic diagnoses, this edit forces review of any cases of lymphoma that have diagnostic confirmation of direct visualization or clinical, and any leukemia with a diagnostic confirmation of direct visualization.
2.  If histology = 9590-9717 for ICD-O-2 or 9590-9729 for ICD-O-3 (lymphoma) then Diagnostic Confirmation cannot be 6 (direct visualization) or 8 (clinical).
3.  If histology = 9720-9941 for ICD-O-2 or 9731-9948 for ICD-O-3 (leukemia and other) then Diagnostic Confirmation cannot be 6 (direct visualization).

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edits of the type Diagnostic Confirmation, Histology.
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.
*   If the edit produces an error or warning message, verify that the ICD-O-2 or ICD-O-3 histology and diagnostic confirmation are correctly coded. Remember that positive hematologic findings and bone marrow specimens are included as histologic confirmation (code 1 in Diagnostic Confirmation) for leukemia. Code 1 indicates that a review has taken place and histologic type and diagnostic confirmation are correctly coded.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2071,Over-ride Site/Behavior,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteBehavior,Tumor,1997,5.1,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Primary Site, Behavior Code ICDO2 (SEER IF39)  
    Primary Site, Behavior Code ICDO3 (SEER IF39)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**

Edits of the type, Primary Site, Behavior Code, require review of the following primary sites with a behavior of _in situ_ (ICD-O-2 or ICD-O-3 behavior = 2):

*   C269                Gastrointestinal tract, NOS
*   C399                Ill-defined sites within respiratory system
*   C559                Uterus, NOS
*   C579                Female genital tract, NOS
*   C639                Male genital organs, NOS
*   C689                Urinary system, NOS
*   C729                Nervous system, NOS
*   C759                Endocrine gland, NOS
*   C760-C768      Ill-defined sites
*   C809                Unknown primary site

Since the designation of _in situ_ is very specific and almost always requires microscopic confirmation, ordinarily specific information should also be available regarding the primary site. Conversely, if inadequate information is available to determine a specific primary site, it is unlikely that information about a cancer being _in situ_ is reliable.

If an _in situ_ diagnosis is stated, try to obtain a more specific primary site. A primary site within an organ system can sometimes be identified based on the diagnostic procedure or treatment given or on the histologic type. If no more specific site can be determined, it is usually preferable to code a behavior code of 3. In the exceedingly rare situation in which it is certain that the behavior is _in situ_ and no more specific site code is applicable, set Over-ride Site/Behavior to 1.

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edit Primary Site, Behavior Code ICDO2 (SEER IF39) and/or the edit Primary Site, Behavior Code ICDO3 (SEER IF39).
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.
*   Code 1 if review of site and behavior verifies that the patient has an _in situ_ cancer of a nonspecific site and no further information about the primary site is available.",,,**Codes**,1 or blank,,digits,"_Note:_ The IF 39 edit does not allow _in situ_ cases of nonspecific sites, such as gastrointestinal tract, NOS; uterus, NOS; female genital tract, NOS; male genital organs, NOS; and others. The over-ride indicates that the conflict has been reviewed.",,,,,,,,,
2072,Over-ride Site/EOD/DX Dt,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteEodDxDt,Tumor,1997,5.1,,,.,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Primary Site, EOD, ICDO2 (SEER IF40)
*   Primary Site, EOD, ICDO3 (SEER IF40)
*   Primary Site, CS Extension (SEER IF 176)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/). 

**Over-ride Flag as Used in the EDITS Software Package**

Edits of this type Primary Site, EOD do not allow “localized” disease with nonspecific sites, such as mouth, NOS; colon, NOS (except ICD-O-2 or ICD-O-3 histology 8210, 8220, 8261, or 8263); bone, NOS; female genital system, NOS; male genital organs, NOS; and others. 

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edit Primary Site, EOD, ICDO2 (SEER IF40) and/or the edit Primary Site, EOD, ICDO3 (SEER IF40).
*   Code 1 if the case has been reviewed and it has been verified that the patient had “localized” disease with a nonspecific site and no further information about the primary site is available.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2073,Over-ride Site/Lat/EOD,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteLatEod,Tumor,1997,5.1,,,.,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Primary Site, Laterality, EOD, ICDO2 (SEER IF41)
*   Primary Site, Laterality, EOD, ICDO3 (SEER IF41)
*   Primary Site, Laterality, CS Extension (SEER IF177)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/)**.**

**Over-ride Flag as Used in the EDITS Software Package**

Edits of this type Primary Site, Laterality, EOD apply to paired organs and do not allow EOD to be specified as _in situ_, localized, or regional by direct extension if laterality is coded as “bilateral, site unknown,” or “laterality unknown.” 

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edit Primary Site, Laterality, EOD, ICDO2 (SEER IF41) and/or Primary Site, Laterality, EOD, ICDO3 (SEER IF41).
*   Code 1 if the case has been reviewed and it has been verified that the patient had laterality coded nonspecifically and EOD coded specifically.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
2074,Over-ride Site/Lat/Morph,1,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,overRideSiteLatMorph,Tumor,1997,5.1,,,R,.,R,.,"Some computer edits identify errors. Others indicate possible errors that require manual review for resolution. To eliminate the need to review the same cases repeatedly, over-ride flags have been developed to indicate that data in a record (or records) have been reviewed and, while unusual, are correct.

This over-ride is used with the following edits in the NAACCR Metafile of the EDITS software:

*   Laterality, Primary Site, Morph ICDO2 (SEER IF42)
*   Laterality, Primary Site, Morph ICDO3 (SEER IF42)","Some edits check for code combinations that are possible, but quite rare. If the code combination generates an error message and review of the case indicates that the codes are correct for the case, then the over-ride flag is used to skip the edit in the future. See [**Standards for Cancer Registries, Standard Data Edits**](https://www.naaccr.org/standard-data-edits/)**.**

**Over-ride Flag as Used in the EDITS Software Package**

Edits of the type Laterality, Primary Site, Morph differ in use of ICD-O-2 or ICD-O-3 morphology and do the following:

1.  If the Primary Site is a paired organ and ICD-O-2 or ICD-O-3 behavior is _in situ_ (2), then laterality must be 1, 2, or 3.
2.  If diagnosis year less than 1988 and ICD-O-2 or ICD-O-3 histology = 9590, no further editing is performed.
3.  If diagnosis year greater than 1987 and ICD-O-2 or ICD-O-3 histology = 9140, 9700, 9701, 9590-9980, no further editing is performed.

The intent of this edit is to force review of _in situ_ cases for which laterality is coded 4 (bilateral) or 9 (unknown laterality) as to origin.In rare instances when the tumor is truly midline (9) or the rare combination is otherwise confirmed correct, enter a code 1 for Override Site/Lat/Morph.

**Instructions for Coding**

*   Leave blank if the program does not generate an error message for the edit Laterality, Primary site, Morph ICDO2 (SEER IF 42) and/or the edit Laterality, Primary site, Morph ICDO3 (SEER IF42).
*   Leave blank and correct any errors for the case if an item is discovered to be incorrect.
*   Code 1 if review of site, laterality and morphology verifies that the case had behavior code of “\_in situ\_” and laterality is not stated as “right: origin of primary;” “left: origin of primary;” or “only one side involved, right or left origin not specified”.",,,**Codes**,1 or blank,,digits,,,,,,,,,,
