Id,ParentId,Level,Code,Sequence,CodeText,Component,Property,Timing,System,Scale,Method
179943328,31205324,4,73709-8,1,PharmD Pharm Prescrip rqst,Prescription request,Find,Pt,Pharmacy,Doc,Pharmacist
179340417,31205323,3,101904-1,2,ROI request,Release of Information request,Find,Pt,{Setting},Doc,
179763042,31205295,2,51851-4,13,Administrative note,Administrative note,Find,Pt,{Setting},Doc,{Role}
180069080,31205295,2,87251-5,14,Addiction med Administrative note,Administrative note,Find,Pt,{Setting},Doc,Addiction medicine
180039585,31205295,2,84065-2,15,Audiology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Audiology
180036697,31205295,2,83829-2,16,Dentistry Administrative note,Administrative note,Find,Pt,{Setting},Doc,Dentistry
180039703,31205295,2,84076-9,17,Dermatology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Dermatology
180040016,31205295,2,84101-5,18,Gastroenterology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Gastroenterology
180090081,31205295,2,89473-3,19,Gynecology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Gynecology
179957645,31205295,2,75440-8,20,Mental health Administrative note,Administrative note,Find,Pt,{Setting},Doc,Mental health
180041772,31205295,2,84225-2,21,Neurology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Neurology
180098516,31205295,2,90341-9,22,Nuc Medicine Administrative note,Administrative note,Find,Pt,{Setting},Doc,Nuclear medicine
180041957,31205295,2,84240-1,23,Nurse Administrative note,Administrative note,Find,Pt,{Setting},Doc,Nurse
180042396,31205295,2,84277-3,24,Nutr+diet Administrative note,Administrative note,Find,Pt,{Setting},Doc,Nutrition and dietetics
180089684,31205295,2,89442-8,25,OB Administrative note,Administrative note,Find,Pt,{Setting},Doc,Obstetrics
180042686,31205295,2,84305-2,26,OBGYN Administrative note,Administrative note,Find,Pt,{Setting},Doc,Obstetrics and Gynecology
180150576,31205295,2,96346-2,27,Orthotics prosthetics Admin note,Administrative note,Find,Pt,{Setting},Doc,Orthotics prosthetics
180034790,31205295,2,83707-0,28,PM+R Administrative note,Administrative note,Find,Pt,{Setting},Doc,Physical medicine and rehab
180043020,31205295,2,84332-6,29,PT Administrative note,Administrative note,Find,Pt,{Setting},Doc,Physical therapy
180036361,31205295,2,83804-5,30,MD Administrative note,Administrative note,Find,Pt,{Setting},Doc,Physician
180037007,31205295,2,83856-5,31,Podiatry Administrative note,Administrative note,Find,Pt,{Setting},Doc,Podiatry
179958184,31205295,2,75485-3,32,Primary care Administrative note,Administrative note,Find,Pt,{Setting},Doc,Primary care
180037306,31205295,2,83879-7,33,Psychiatric Administrative note,Administrative note,Find,Pt,{Setting},Doc,Psychiatry
180037526,31205295,2,83897-9,34,Psych Administrative note,Administrative note,Find,Pt,{Setting},Doc,Psychology
180049309,31205295,2,85255-8,35,Radiology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Radiology
180039256,31205295,2,84038-9,36,Urology Administrative note,Administrative note,Find,Pt,{Setting},Doc,Urology
180048256,31205295,2,85177-4,37,Cust care fac Administrative note,Administrative note,Find,Pt,Custodial care facility,Doc,{Role}
180040972,31205295,2,84161-9,38,Pt's home Administrative note,Administrative note,Find,Pt,Patient's home,Doc,{Role}
31205325,31205294,1,LP173409-6,2,Advance directives,,,,,,
31205326,31205325,2,LP173410-4,1,Do not resuscitate,,,,,,
180039954,31205326,3,84095-9,1,DNR,Do not resuscitate,Find,Pt,{Setting},Doc,{Role}
31205327,31205325,2,LP173411-2,2,Rescinded do not resuscitate,,,,,,
31205328,31205325,2,LP173412-0,3,Living will,,,,,,
180062087,31205328,3,86533-7,1,Patient Living will,Living will,Find,Pt,{Setting},Doc,Patient
180048558,31205328,3,85198-0,2,Patient LTC fac Living will,Living will,Find,Pt,Long term care facility,Doc,Patient
180117451,31205328,3,92664-2,3,Patient POA+Living will,Power of attorney+Living will,Find,Pt,{Setting},Doc,Patient
31205329,31205325,2,LP173413-8,4,Rescinded advance directive,,,,,,
179674616,31205325,2,42348-3,5,Advance directives,Advance directives,Find,Pt,{Setting},Doc,{Role}
180137390,31205325,2,94821-6,6,COVID-19 Intubation Adv Dir,COVID-19+Intubation advance directives,Find,Pt,{Setting},Doc,{Role}
31205330,31205294,1,LP200111-5,3,Checklist,,,,,,
31205331,31205330,2,LP267279-0,1,Discharge checklist,,,,,,
180088028,31205331,3,89242-2,1,Discharge checklist,Discharge checklist,Find,Pt,{Setting},Doc,{Role}
180005268,31205330,2,80566-3,2,Checklist,Checklist,Find,Pt,{Setting},Doc,{Role}
179985157,31205330,2,78495-9,3,Anesthesiology Checklist,Checklist,Find,Pt,{Setting},Doc,Anesthesiology
180005348,31205330,2,80573-9,4,Cardiac surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Cardiac surgery
179984577,31205330,2,78448-8,5,Cardio+Pulm disease Checklist,Checklist,Find,Pt,{Setting},Doc,Cardiovascular disease+Pulmonary disease
179985294,31205330,2,78505-5,6,Col+rec surg Checklist,Checklist,Find,Pt,{Setting},Doc,Colon and rectal surgery
180089715,31205330,2,89445-1,7,Gynecology Checklist,Checklist,Find,Pt,{Setting},Doc,Gynecology
179985284,31205330,2,78504-8,8,Mental health Checklist,Checklist,Find,Pt,{Setting},Doc,Mental health
179984601,31205330,2,78449-6,9,Neuro surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Neurological surgery
180089713,31205330,2,89444-4,10,OB Checklist,Checklist,Find,Pt,{Setting},Doc,Obstetrics
179987609,31205330,2,78717-6,11,OBGYN Checklist,Checklist,Find,Pt,{Setting},Doc,Obstetrics and Gynecology
179987545,31205330,2,78712-7,12,Ophthalmol Checklist,Checklist,Find,Pt,{Setting},Doc,Ophthalmology
179985676,31205330,2,78540-2,13,OMS Checklist,Checklist,Find,Pt,{Setting},Doc,Oral and maxillofacial surgery
179985695,31205330,2,78541-0,14,Orthopaedic surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Orthopaedic surgery
180006799,31205330,2,80732-1,15,Otolaryngology Checklist,Checklist,Find,Pt,{Setting},Doc,Otolaryngology
179985740,31205330,2,78544-4,16,Peds surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Pediatric surgery
179985742,31205330,2,78545-1,17,Plastic surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Plastic surgery
179985273,31205330,2,78503-0,18,Surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Surgery
180007646,31205330,2,80800-6,19,Surg Onc Checklist,Checklist,Find,Pt,{Setting},Doc,Surgical oncology
179985716,31205330,2,78543-6,20,Cardiothor surg Checklist,Checklist,Find,Pt,{Setting},Doc,Thoracic and cardiac surgery
179985672,31205330,2,78539-4,21,Transpl surg Checklist,Checklist,Find,Pt,{Setting},Doc,Transplant surgery
179987839,31205330,2,78734-1,22,Urology Checklist,Checklist,Find,Pt,{Setting},Doc,Urology
179985699,31205330,2,78542-8,23,Vascular surgery Checklist,Checklist,Find,Pt,{Setting},Doc,Vascular surgery
179984576,31205330,2,78447-0,24,ED Checklist,Checklist,Find,Pt,Emergency department,Doc,{Role}
180162973,31205330,2,97661-3,25,Emergency med ED Checklist,Checklist,Find,Pt,Emergency department,Doc,Emergency medicine
31205332,31205294,1,LP173414-6,4,Diagram,,,,,,
180005208,31205332,2,80562-2,1,Diagram,Diagram,Find,Pt,{Setting},Doc,{Role}
180042028,31205332,2,84245-0,2,Nurse Diagram,Diagram,Find,Pt,{Setting},Doc,Nurse
180043975,31205332,2,84406-8,3,Ophthalmol Diagram,Diagram,Find,Pt,{Setting},Doc,Ophthalmology
31205333,31205294,1,LP173415-3,5,Flowsheet,,,,,,
180089512,31205333,2,89425-3,1,CPR flowsheet,Cardiopulmonary resuscitation flowsheet,Find,Pt,{Setting},Doc,{Role}
180005275,31205333,2,80567-1,2,Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,{Role}
180145134,31205333,2,95758-9,3,Allergy Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Allergy
179975043,31205333,2,77438-0,4,Allergy+Immunology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Allergy+Immunology
180039502,31205333,2,84058-7,5,Anesthesiology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Anesthesiology
179975047,31205333,2,77439-8,6,Audiology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Audiology
180005337,31205333,2,80572-1,7,Cardiac surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Cardiac surgery
179975019,31205333,2,77437-2,8,Cardiology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Cardiovascular disease
179985227,31205333,2,78500-6,9,Cardio+Pulm disease Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Cardiovascular disease+Pulmonary disease
179975069,31205333,2,77441-4,10,Child+teen psych Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Child and adolescent psychiatry
179983180,31205333,2,78304-3,11,Clinical genetics Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Clinical genetics
179983138,31205333,2,78300-1,12,Col+rec surg Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Colon and rectal surgery
179975064,31205333,2,77440-6,13,CCM Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Critical Care Medicine
179983142,31205333,2,78301-9,14,Dentistry Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Dentistry
179983061,31205333,2,78294-6,15,Dermatology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Dermatology
179983081,31205333,2,78295-3,16,Endocrinology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Endocrinology
179983123,31205333,2,78299-5,17,Fam Med Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Family medicine
179983101,31205333,2,78297-9,18,Gastroenterology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Gastroenterology
179983117,31205333,2,78298-7,19,General medicine Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,General medicine
180007888,31205333,2,80817-0,20,Geri med Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Geriatric medicine
180087983,31205333,2,89237-2,21,Gynecology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Gynecology
179983039,31205333,2,78291-2,22,Hematology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Hematology
180145048,31205333,2,95751-4,23,Immunology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Immunology
179983059,31205333,2,78293-8,24,Infectious disease Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Infectious disease
179983097,31205333,2,78296-1,25,Mental health Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Mental health
179984660,31205333,2,78454-6,26,Multi-spec prog Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Multi-specialty program
179984670,31205333,2,78455-3,27,Neo peri med Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Neonatal perinatal medicine
179984680,31205333,2,78456-1,28,Nephrology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Nephrology
179984692,31205333,2,78457-9,29,Neuro surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Neurological surgery
179984701,31205333,2,78458-7,30,Neurology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Neurology
179957732,31205333,2,75448-1,31,Nurse Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Nurse
179984711,31205333,2,78459-5,32,Nurse pract Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Nurse practitioner
179984721,31205333,2,78460-3,33,Nutr+diet Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Nutrition and dietetics
180087991,31205333,2,89238-0,34,OB Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Obstetrics
179987535,31205333,2,78711-9,35,OBGYN Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Obstetrics and Gynecology
179984733,31205333,2,78461-1,36,OT Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Occupational therapy
179984741,31205333,2,78462-9,37,Oncology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Oncology
179986665,31205333,2,78638-4,38,Ophthalmol Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Ophthalmology
179986408,31205333,2,78617-8,39,Optometry Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Optometry
179986401,31205333,2,78616-0,40,OMS Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Oral and maxillofacial surgery
179986584,31205333,2,78631-9,41,Orthopaedic surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Orthopaedic surgery
179986427,31205333,2,78618-6,42,Otolaryngology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Otolaryngology
179986460,31205333,2,78621-0,43,Pain medicine Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Pain medicine
179986646,31205333,2,78636-8,44,Palliative care Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Palliative care
179986538,31205333,2,78627-7,45,Peds surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Pediatric surgery
179986625,31205333,2,78634-3,46,Peds Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Pediatrics
179986438,31205333,2,78619-4,47,PM+R Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Physical medicine and rehab
179986657,31205333,2,78637-6,48,PT Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Physical therapy
179986606,31205333,2,78633-5,49,Plastic surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Plastic surgery
179986576,31205333,2,78630-1,50,Podiatry Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Podiatry
179986496,31205333,2,78624-4,51,Primary care Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Primary care
179986507,31205333,2,78625-1,52,Psychiatric Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Psychiatry
179986703,31205333,2,78641-8,53,Psych Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Psychology
180007566,31205333,2,80794-1,54,Pulmonary disease Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Pulmonary disease
179986556,31205333,2,78628-5,55,Radiation Onc Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Radiation oncology
179986636,31205333,2,78635-0,56,Rec therapy Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Recreational therapy
180021847,31205333,2,82362-5,57,REI Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Reproductive endocrinology and infertility
179986696,31205333,2,78640-0,58,Resp therapy Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Respiratory therapy
179986676,31205333,2,78639-2,59,Rheumatology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Rheumatology
179986599,31205333,2,78632-7,60,Speech-lang path Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Speech-language pathology
179986483,31205333,2,78623-6,61,Sports medicine Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Sports medicine
179983041,31205333,2,78292-0,62,Surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Surgery
179984562,31205333,2,78446-2,63,Surgical critical care Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Surgical critical care
180007684,31205333,2,80803-0,64,Surg Onc Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Surgical oncology
179986529,31205333,2,78626-9,65,Cardiothor surg Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Thoracic and cardiac surgery
179986563,31205333,2,78629-3,66,Transpl surg Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Transplant surgery
179986471,31205333,2,78622-8,67,Urology Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Urology
179986446,31205333,2,78620-2,68,Vascular surgery Flowsheet,Flowsheet,Find,Pt,{Setting},Doc,Vascular surgery
179983177,31205333,2,78303-5,69,ED Flowsheet,Flowsheet,Find,Pt,Emergency department,Doc,{Role}
179983158,31205333,2,78302-7,70,Emergency med ED Flowsheet,Flowsheet,Find,Pt,Emergency department,Doc,Emergency medicine
180041992,31205333,2,84243-5,71,Nurse ICU Flowsheet,Flowsheet,Find,Pt,Intensive care unit,Doc,Nurse
180005254,31205333,2,80565-5,72,MAR,Medication administration flowsheet,Find,Pt,{Setting},Doc,{Role}
31205334,31205294,1,LP181112-6,6,Form,,,,,,
31205335,31205334,2,LP204180-6,1,Mandatory reporting form,,,,,,
180005243,31205335,3,80564-8,1,Mandatory reporting form,Mandatory reporting form,Find,Pt,{Setting},Doc,{Role}
180004084,31205335,3,80420-3,2,Mental health Mandatory reporting form,Mandatory reporting form,Find,Pt,{Setting},Doc,Mental health
180004087,31205335,3,80421-1,3,Public health Mandatory reporting form,Mandatory reporting form,Find,Pt,{Setting},Doc,Public health
33850051,31205334,2,LP416138-8,2,Medical history screening form,,,,,,
179867421,33850051,3,64285-0,1,Medical Hx screening form,Medical history screening form,Find,Pt,{Setting},Doc,Patient
180089562,33850051,3,89430-3,2,OP Medical Hx screening form,Medical history screening form,Find,Pt,Outpatient,Doc,Patient
33850046,31205334,2,LP416137-0,3,Portable medical order form,,,,,,
180121294,33850046,3,93037-0,1,Portable med order form,Portable medical order form,Find,Pt,{Setting},Doc,{Role}
180136249,31205334,2,94722-6,4,COVID-19 Initial Eval form,COVID-19+Initial evaluation form,Find,Pt,{Setting},Doc,{Role}
180136271,31205334,2,94723-4,5,ED COVID-19 Initial Eval form,COVID-19+Initial evaluation form,Find,Pt,Emergency department,Doc,{Role}
180011348,31205334,2,81195-0,6,E+M Workers Comp Form,Evaluation and management of workers compensation form,Find,Pt,{Setting},Doc,{Role}
180005283,31205334,2,80568-9,7,Form,Form,Find,Pt,{Setting},Doc,{Role}
179983196,31205334,2,78305-0,8,Mental health Form,Form,Find,Pt,{Setting},Doc,Mental health
179987471,31205334,2,78706-9,9,Oncology Form,Form,Find,Pt,{Setting},Doc,Oncology
179986720,31205334,2,78642-6,10,Public health Form,Form,Find,Pt,{Setting},Doc,Public health
180007929,31205334,2,80820-4,11,Med reconciliation form,Medication reconciliation form,Find,Pt,{Setting},Doc,{Role}
31205336,31205294,1,LP181116-7,7,Instructions,,,,,,
31205337,31205336,2,LP181119-1,1,Action plan,,,,,,
31205338,31205337,3,LP173754-5,1,ADHD action plan,,,,,,
179947003,31205338,4,74155-3,1,ADHD action plan,ADHD action plan,Find,Pt,{Setting},Doc,{Role}
48700441,31205337,3,LP420133-3,2,Adrenal insufficiency emergency action plan,,,,,,
180145495,48700441,4,95794-4,1,Adrenal insufficiency action plan,Adrenal insufficiency emergency action plan,Find,Pt,{Setting},Doc,{Role}
31205339,31205337,3,LP173755-2,3,Anaphylaxis action plan,,,,,,
179946964,31205339,4,74152-0,1,Anaphylaxis action plan,Anaphylaxis action plan,Find,Pt,{Setting},Doc,{Role}
31205340,31205337,3,LP173756-0,4,Asthma action plan,,,,,,
179910655,31205340,4,69981-9,1,Asthma action plan,Asthma action plan,Find,Pt,{Setting},Doc,{Role}
31205341,31205337,3,LP173757-8,5,Autism action plan,,,,,,
179946994,31205341,4,74154-6,1,Autism action plan,Autism action plan,Find,Pt,{Setting},Doc,{Role}
31205342,31205337,3,LP173758-6,6,Complex medical conditions action plan,,,,,,
179946875,31205342,4,74144-7,1,Cmplx med cond action plan,Complex medical conditions action plan,Find,Pt,{Setting},Doc,{Role}
31205343,31205337,3,LP173759-4,7,Cystic fibrosis action plan,,,,,,
179946922,31205343,4,74148-8,1,CF action plan,Cystic fibrosis action plan,Find,Pt,{Setting},Doc,{Role}
31205344,31205337,3,LP173765-1,8,Diabetes type I action plan,,,,,,
179946943,31205344,4,74150-4,1,Diabetes type I action plan,Diabetes type I action plan,Find,Pt,{Setting},Doc,{Role}
31205345,31205337,3,LP173766-9,9,Diabetes type II action plan,,,,,,
179946956,31205345,4,74151-2,1,Diabetes type II action plan,Diabetes type II action plan,Find,Pt,{Setting},Doc,{Role}
31205346,31205337,3,LP173760-2,10,Heart disease action plan,,,,,,
179946904,31205346,4,74146-2,1,Heart disease action plan,Heart disease action plan,Find,Pt,{Setting},Doc,{Role}
31205347,31205337,3,LP173761-0,11,Inflammatory bowel disease action plan,,,,,,
179946931,31205347,4,74149-6,1,IBD action plan,Inflammatory bowel disease action plan,Find,Pt,{Setting},Doc,{Role}
31205348,31205337,3,LP173762-8,12,Multiple sclerosis action plan,,,,,,
179946886,31205348,4,74145-4,1,MS action plan,Multiple sclerosis action plan,Find,Pt,{Setting},Doc,{Role}
31205349,31205337,3,LP173763-6,13,Muscular dystrophy action plan,,,,,,
179946912,31205349,4,74147-0,1,MD action plan,Muscular dystrophy action plan,Find,Pt,{Setting},Doc,{Role}
31205350,31205337,3,LP173764-4,14,Seizure disorder action plan,,,,,,
179946980,31205350,4,74153-8,1,Seizure disorder action plan,Seizure disorder action plan,Find,Pt,{Setting},Doc,{Role}
179340384,31205337,3,101900-9,15,Geri med,Action plan,Find,Pt,{Setting},Doc,Geriatric medicine
179340387,31205337,3,101901-7,16,Mental health,Action plan,Find,Pt,{Setting},Doc,Mental health
31205351,31205336,2,LP173118-3,2,Discharge instructions,,,,,,
